,Academic Support And Resources,Academics,Activities And Travelling,Athletics And Sports,Career Opportunities,Cleanliness,Financial Support,Health And Well-Being Support,Housing And Transportation,Infrastructure,International Student Experiences,Mess/Food,Online Learning,Other,Ragging,Safety,Security,Student Affairs,Technical Issues
Academic Support And Resources,95,1,0,0,1,1,10,0,0,0,0,0,0,2,16,0,0,1,7
Academics,0,12,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1
Activities And Travelling,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Athletics And Sports,0,0,0,15,0,0,0,0,3,1,0,0,0,1,0,0,1,1,0
Career Opportunities,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Cleanliness,0,0,0,0,0,13,0,0,0,3,0,0,0,2,0,0,0,0,0
Financial Support,3,0,0,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0
Health And Well-Being Support,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0
Housing And Transportation,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,2,0
Infrastructure,1,0,0,1,0,3,0,0,0,14,0,0,0,4,0,0,2,0,1
International Student Experiences,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Mess/Food,0,0,0,0,0,3,0,1,0,0,3,37,0,0,0,0,0,0,0
Online Learning,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0
Other,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,2
Ragging,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,1,1
Safety,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Student Affairs,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,0,2,0
Technical Issues,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15
