,Academic Support And Resources,Academics,Activities And Travelling,Athletics And Sports,Career Opportunities,Cleanliness,Financial Support,Health And Well-Being Support,Housing And Transportation,Infrastructure,International Student Experiences,Mess/Food,Online Learning,Other,Ragging,Safety,Security,Student Affairs,Technical Issues
Academic Support And Resources,128,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1
Academics,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activities And Travelling,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletics And Sports,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Career Opportunities,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleanliness,1,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0
Financial Support,1,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0
Health And Well-Being Support,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0
Housing And Transportation,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Infrastructure,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
International Student Experiences,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Mess/Food,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
Online Learning,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,0,1
Ragging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Security,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Student Affairs,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,4,0
Technical Issues,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
